year,new_relapse_cases
1980,25235.0
1981,32461.0
1982,33000.0
1983,31809.0
1984,32432.0
1985,17681.0
1986,16750.0
1987,0.0
1988,97505.0
1989,105516.0
1990,74470.0
1991,60808.0
1992,98458.0
1993,62966.0
1994,49647.0
1995,35529.0
1996,24647.0
1997,22184.0
1998,40497.0
1999,69064.0
2000,84591.0
2001,92792.0
2002,155188.0
2003,174174.0
2004,210229.0
2005,254601.0
2006,277589.0
2007,275193.0
2008,296514.0
2009,292754.0
2010,300659.0
2011,318949.0
2012,328824.0
2013,325582.0
2014,322806.0
2015,331703.0
2016,364671.0
2017,442172.0
2018,568865.0
2019,559847.0
2020,384025.0
2021,432577.0
2022,708658.0
