,Distribution,Parameters,Support
Contact rate,Uniform distribution,loc: 0.1 scale: 299.9,0.1 to 300.0
TB progression multiplier,Uniform distribution,loc: 1.0 scale: 1.0,1.0 to 2.0
Passive screening shape,Uniform distribution,loc: 0.01 scale: 0.49,0.01 to 0.5
Passive screening inflection time,TruncNormal distribution,loc: 2010 scale: 3.0 a: -2.0 b: 1.333,2000.0 to 2010.0
Time from active TB to be screened,Gamma distribution,shape: 2.349 scale: 0.371,0.0 to infinity
Preceding diagnostic algorithm sensitivity,Beta distribution,a: 2.766 b: 3.381,0.0 to 1.0
GeneXpert sensitivity,Beta distribution,a: 42.11 b: 4.679,0.0 to 1.0
Detection reduction,Uniform distribution,loc: 0.01 scale: 0.89,0.01 to 0.9
Post-COVID19 detection improvement,Uniform distribution,loc: 1.0 scale: 2.0,1.0 to 3.0
Additional detection improvement factor,Uniform distribution,loc: 1.0 scale: 1.5,1.0 to 2.5
